"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.02Y",2,11,11,11,11,11,-0.280145632893376,-0.277233690688963,0.719998920838868,1.29064919830484,0.512465718343563,0.778183479961274,0.602939575667311
"2","ratio_quantity.03F",5,6,6,6,6,6,-0.0900408721703562,-0.0489361796111014,0.550955791287561,1.93000616749819,0.45916610673867,1.47084006075952,0.762090860396641
"3","ratio_quantity.03H",3,9,9,9,9,17,-0.0142946948152981,-0.0220329545359372,0.537896491786709,0.660057117017642,0.314579807839425,0.345477309178218,0.523405172478405
"4","ratio_quantity.03K",1,20,20,20,20,20,-0.026837753830081,-0.0183760234075034,0.523809523809524,1.48731444320578,0.360128782342383,1.1271856608634,0.757866412185069
"5","ratio_quantity.03L",1,27,27,27,27,27,-0.0139005693392382,-0.0204360362759866,0.514285714285714,0.694099466596632,0.207579539723295,0.486519926873338,0.700936897789136
"6","ratio_quantity.03N",2,10,10,10,10,10,-0.0163929597505875,-0.0309094149926199,0.503275049011558,0.578886767551664,0.22058854154062,0.358298226011044,0.618943541457038
"7","ratio_quantity.03Q",4,3,3,3,3,3,-0.337162814253813,-1.3146799178685,0.635434968568914,0.593622816168543,0.0630212110772337,0.530601605091309,0.893836272190487
"8","ratio_quantity.03R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.03W",2,6,6,6,6,6,-0.0627515767625894,-0.0990022986506089,0.509672336487633,0.696591170568863,0.204105530127501,0.492485640441362,0.706993802461176
"10","ratio_quantity.04C",1,2,2,2,2,2,-0.00919446926997045,-0.0102378365093538,0.516666666666667,0.90728160531379,0.355613449115563,0.551668156198227,0.608045123991496
"11","ratio_quantity.04V",2,6,6,6,6,6,-0.0380256961240919,-0.0433908207689544,0.507448255972041,1.2576906363848,0.133663831388144,1.12402680499665,0.89372280629173
"12","ratio_quantity.04Y",2,4,4,4,4,4,-0.046980334461115,-0.0406248485434567,0.525384638393878,1.2034236479878,0.219794433680943,0.983629214306862,0.817359053855679
"13","ratio_quantity.05D",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.05G",2,7,7,7,7,7,-0.108934251788001,-0.0709906339771822,0.590220577224405,1.64342191142793,0.720595293790504,0.922826617637422,0.561527512332851
"15","ratio_quantity.05Q",2,4,4,4,4,4,-0.0776672481464588,-0.03931339425045,0.50131919124784,2.23775353972329,0.223718881702784,2.01403465802051,0.900025236143545
